"circuito" "MESA"
"1" "0001" 1
"2" "0001" 2
"3" "0001" 3
"4" "0001" 4
"5" "0001" 5
"6" "0001" 6
"7" "0001" 7
"8" "0015" 629
"9" "0015" 630
"10" "0001" 8
"11" "0001" 9
"12" "0001" 10
"13" "0001" 11
"14" "0001" 12
"15" "0001" 13
"16" "0001" 14
"17" "0001" 15
"18" "0001" 16
"19" "0001" 17
"20" "0001" 18
"21" "001A" 19
"22" "001A" 20
"23" "001A" 21
"24" "001A" 22
"25" "001A" 23
"26" "001A" 24
"27" "001A" 25
"28" "001A" 26
"29" "001A" 27
"30" "001A" 28
"31" "001A" 29
"32" "001A" 30
"33" "001A" 31
"34" "001A" 32
"35" "001A" 33
"36" "0002" 34
"37" "0002" 35
"38" "0002" 36
"39" "0002" 37
"40" "0002" 38
"41" "0002" 39
"42" "0002" 40
"43" "0002" 41
"44" "0002" 42
"45" "0002" 43
"46" "0002" 44
"47" "002A" 45
"48" "002A" 46
"49" "002A" 47
"50" "002A" 48
"51" "002A" 49
"52" "002A" 50
"53" "002A" 51
"54" "002A" 52
"55" "002A" 53
"56" "002A" 54
"57" "002A" 55
"58" "002A" 56
"59" "0003" 57
"60" "0003" 58
"61" "0003" 59
"62" "0003" 60
"63" "0003" 61
"64" "0003" 62
"65" "0003" 63
"66" "0003" 64
"67" "0003" 65
"68" "0003" 66
"69" "0003" 67
"70" "0003" 68
"71" "0003" 69
"72" "0003" 70
"73" "0003" 71
"74" "0003" 72
"75" "0003" 73
"76" "0003" 74
"77" "0003" 75
"78" "0003" 76
"79" "0004" 77
"80" "0004" 78
"81" "0004" 79
"82" "0004" 80
"83" "0004" 81
"84" "0004" 82
"85" "0004" 83
"86" "0004" 84
"87" "0004" 85
"88" "0004" 86
"89" "0004" 87
"90" "0004" 88
"91" "0004" 89
"92" "0004" 90
"93" "0004" 91
"94" "0004" 92
"95" "0004" 93
"96" "0004" 94
"97" "0005" 95
"98" "0005" 96
"99" "0005" 97
"100" "0005" 98
"101" "0005" 99
"102" "0005" 100
"103" "0005" 101
"104" "0005" 102
"105" "0005" 103
"106" "0005" 104
"107" "0005" 105
"108" "0005" 106
"109" "0005" 107
"110" "0005" 108
"111" "0005" 109
"112" "0005" 110
"113" "0005" 111
"114" "0005" 112
"115" "0005" 113
"116" "0005" 114
"117" "0005" 115
"118" "0005" 116
"119" "0005" 117
"120" "0005" 118
"121" "0005" 119
"122" "0005" 120
"123" "0005" 121
"124" "0005" 122
"125" "0005" 123
"126" "0005" 124
"127" "0005" 125
"128" "0006" 126
"129" "0006" 127
"130" "0006" 128
"131" "0006" 129
"132" "0006" 130
"133" "0006" 131
"134" "0006" 132
"135" "0006" 133
"136" "0006" 134
"137" "0006" 135
"138" "0006" 136
"139" "0006" 137
"140" "0006" 138
"141" "0006" 139
"142" "0007" 140
"143" "0007" 141
"144" "0007" 142
"145" "0007" 143
"146" "0007" 144
"147" "0007" 145
"148" "0007" 146
"149" "0007" 147
"150" "0007" 148
"151" "0007" 149
"152" "0007" 150
"153" "0007" 151
"154" "0007" 152
"155" "0007" 153
"156" "007A" 154
"157" "007A" 155
"158" "007A" 156
"159" "007A" 157
"160" "007A" 158
"161" "007A" 159
"162" "007A" 160
"163" "007A" 161
"164" "007A" 162
"165" "007A" 163
"166" "007A" 164
"167" "007A" 165
"168" "007A" 166
"169" "007A" 167
"170" "007A" 168
"171" "007A" 169
"172" "007A" 170
"173" "007A" 171
"174" "0008" 172
"175" "0008" 173
"176" "0008" 174
"177" "0008" 175
"178" "0008" 176
"179" "0008" 177
"180" "0008" 178
"181" "0008" 179
"182" "0008" 180
"183" "0008" 181
"184" "0008" 182
"185" "0008" 183
"186" "0008" 184
"187" "0008" 185
"188" "008A" 186
"189" "008A" 187
"190" "008A" 188
"191" "008A" 189
"192" "008A" 190
"193" "008A" 191
"194" "008A" 192
"195" "008A" 193
"196" "008A" 194
"197" "008A" 195
"198" "008A" 196
"199" "008A" 197
"200" "008A" 198
"201" "008A" 199
"202" "008A" 200
"203" "008A" 201
"204" "008A" 202
"205" "008A" 203
"206" "008A" 204
"207" "008A" 205
"208" "008A" 206
"209" "008A" 207
"210" "0009" 208
"211" "0009" 209
"212" "0009" 210
"213" "0009" 211
"214" "0009" 212
"215" "0009" 213
